Index,Industry,MktCapPer,
000001.SS,Financials,25.3224583,
000001.SS,Industrials,17.6403642,
000001.SS,Information Technology,10.1479514,
000001.SS,Materials,9.48406677,
000001.SS,Energy,6.3353566,
000001.SS,Consumer Staples,9.12367223,
000001.SS,Consumer Discretionary,7.96661608,
000001.SS,Health Care,6.31638847,
000001.SS,Utilities,4.17298938,
000001.SS,Telecommunications Services,1.08118361,
000001.SS,Others,2.40895296,
399001.SZ,Information Technology,19.1836735,
399001.SZ,Industrials,17.7324263,
399001.SZ,Materials,14.4671202,
399001.SZ,Consumer Discretionary,10.8843537,
399001.SZ,Health Care,11.8367347,
399001.SZ,Consumer Staples,13.1519274,
399001.SZ,Financials,7.4829932,
399001.SZ,Utilities,2.72108844,
399001.SZ,Real Estate,1.85941043,
399001.SZ,Energy,0.68027211,
399001.SZ,Others,0,
^GSPC,Information Technology,30.3837342,
^GSPC,Consumer Discretionary,11.626575,
^GSPC,Financials,12.7147766,
^GSPC,Health Care,14.0320733,
^GSPC,Industrials,8.70561283,
^GSPC,Consumer Staples,8.16151203,
^GSPC,Energy,4.95418099,
^GSPC,Materials,2.5486827,
^GSPC,Real Estate,2.43413517,
^GSPC,Utilities,2.97823597,
^GSPC,Others,1.4604811,
^HSI,Financials,28.872974,
^HSI,Consumer Discretionary,19.4496796,
^HSI,Information Technology,16.3965322,
^HSI,Energy,13.2303053,
^HSI,Real Estate,4.03317,
^HSI,Telecommunications Services,6.21937429,
^HSI,Utilities,2.37467018,
^HSI,Consumer Staples,3.54315869,
^HSI,Industrials,2.11081794,
^HSI,Health Care,1.65849981,
^HSI,Others,2.11081794,
^TWII,Information Technology,53.8236617,
^TWII,Financials,13.4053081,
^TWII,Industrials,8.54700855,
^TWII,Materials,8.29959514,
^TWII,Consumer Discretionary,6.14035088,
^TWII,Telecommunications Services,3.28385065,
^TWII,Consumer Staples,2.45164193,
^TWII,Real Estate,1.28205128,
^TWII,Energy,1.73189384,
^TWII,Health Care,0.87719298,
^TWII,Others,0.15744489,
^GDAXI,Industrials,20.7484015,
^GDAXI,Consumer Discretionary,17.8619635,
^GDAXI,Financials,14.4172005,
^GDAXI,Information Technology,11.3180707,
^GDAXI,Materials,8.87186029,
^GDAXI,Telecommunications Services,6.74290488,
^GDAXI,Health Care,12.0818838,
^GDAXI,Utilities,4.74769135,
^GDAXI,Consumer Staples,1.96567098,
^GDAXI,Real Estate,1.24435253,
^GDAXI,Others,0,
^FCHI,Consumer Discretionary,30.4530144,
^FCHI,Industrials,17.6034104,
^FCHI,Consumer Staples,12.8648428,
^FCHI,Financials,8.39995357,
^FCHI,Health Care,9.63296332,
^FCHI,Energy,7.33815403,
^FCHI,Information Technology,5.3346983,
^FCHI,Materials,4.37221407,
^FCHI,Utilities,2.35007999,
^FCHI,Telecommunications Services,1.65066905,
^FCHI,Others,0,
^BFX,Consumer Staples,40.4560142,
^BFX,Financials,22.9431441,
^BFX,Health Care,14.4649466,
^BFX,Materials,8.31909631,
^BFX,Consumer Discretionary,4.00101522,
^BFX,Real Estate,3.89381134,
^BFX,Utilities,3.94154169,
^BFX,Information Technology,0,
^BFX,Telecommunications Services,1.22773057,
^BFX,Non-classified,0,
^BFX,Others,0.75269998,
IMOEX.ME,Consumer Discretionary,40.0843292,
IMOEX.ME,Energy,18.8484253,
IMOEX.ME,Non-classified,0,
IMOEX.ME,Materials,7.97167913,
IMOEX.ME,Financials,5.8254426,
IMOEX.ME,Consumer Staples,0.97552607,
IMOEX.ME,Utilities,0.77519482,
IMOEX.ME,Telecommunications Services,0.70894562,
IMOEX.ME,Real Estate,0,
IMOEX.ME,Industrials,8.1786089,
IMOEX.ME,Others,16.6318484,
^N225,Consumer Discretionary,19.2505211,
^N225,Industrials,20.4280281,
^N225,Information Technology,15.2732117,
^N225,Financials,11.7815166,
^N225,Health Care,9.88848063,
^N225,Telecommunications Services,8.5175874,
^N225,Materials,4.90771181,
^N225,Consumer Staples,6.04654161,
^N225,Real Estate,1.90592836,
^N225,Utilities,1.07651647,
^N225,Others,0.92395625,
^AXJO,Financials,27.6633425,
^AXJO,Materials,19.9195704,
^AXJO,Non-classified,14.5343697,
^AXJO,Health Care,9.32671433,
^AXJO,Energy,8.05877834,
^AXJO,Consumer Staples,5.52315103,
^AXJO,Industrials,5.22233531,
^AXJO,Consumer Discretionary,4.18234562,
^AXJO,Information Technology,2.4692823,
^AXJO,Utilities,1.74902909,
^AXJO,Others,1.35108134,
^BSESN,Non-classified,0,
^BSESN,Financials,20.18506761,
^BSESN,Energy,15.02590225,
^BSESN,Information Technology,7.406239628,
^BSESN,Health Care,2.706676864,
^BSESN,Consumer Discretionary,1.353554885,
^BSESN,Materials,1.200017316,
^BSESN,Utilities,1.300018759,
^BSESN,Others,50.82252269,
^JKSE,Non-classified,68.1469321,
^JKSE,Consumer Staples,7.88389437,
^JKSE,Consumer Discretionary,6.60579171,
^JKSE,Financials,6.30548734,
^JKSE,Energy,4.38109711,
^JKSE,Industrials,2.24549883,
^JKSE,Health Care,2.02027055,
^JKSE,Real Estate,1.48659711,
^JKSE,Materials,0.92443094,
^JKSE,Others,0,
^NZ50,Financials,55.5260139,
^NZ50,Utilities,13.5585407,
^NZ50,Health Care,9.31204906,
^NZ50,Industrials,9.7065729,
^NZ50,Telecommunications Services,4.66781736,
^NZ50,Real Estate,2.15648016,
^NZ50,Consumer Staples,2.37571963,
^NZ50,Materials,1.25647266,
^NZ50,Consumer Discretionary,1.21895001,
^NZ50,Information Technology,0.11417606,
^NZ50,Others,0.10720756,
^KS11,Information Technology,35.3676735,
^KS11,Industrials,13.2679732,
^KS11,Consumer Discretionary,11.2070567,
^KS11,Financials,10.0930633,
^KS11,Materials,10.8996833,
^KS11,Health Care,8.04278835,
^KS11,Consumer Staples,5.26504922,
^KS11,Telecommunications Services,1.98159688,
^KS11,Energy,1.93051805,
^KS11,Utilities,1.57370291,
^KS11,Others,0.37089456,
^GSPTSE,Financials,28.1199788,
^GSPTSE,Energy,19.1640938,
^GSPTSE,Industrials,12.5264966,
^GSPTSE,Materials,11.7588057,
^GSPTSE,Information Technology,5.65342796,
^GSPTSE,Consumer Discretionary,6.53972098,
^GSPTSE,Consumer Staples,3.87002838,
^GSPTSE,Real Estate,2.81806663,
^GSPTSE,Utilities,4.0414158,
^GSPTSE,Telecommunications Services,3.98967031,
^GSPTSE,Others,1.51829496,
^BVSP,Non-classified,0,
^BVSP,Materials,20.3549493,
^BVSP,Energy,9.66039115,
^BVSP,Financials,8.67172052,
^BVSP,Consumer Staples,11.25218,
^BVSP,Utilities,6.78984382,
^BVSP,Telecommunications Services,3.47152687,
^BVSP,Consumer Discretionary,2.08388827,
^BVSP,Industrials,1.44130096,
^BVSP,Health Care,1.32386595,
^BVSP,Others,34.9503332,
^TA125.TA,Financials,26.2311724,
^TA125.TA,Information Technology,14.1559818,
^TA125.TA,Real Estate,15.4156582,
^TA125.TA,Utilities,5.26173664,
^TA125.TA,Industrials,8.87274218,
^TA125.TA,Health Care,5.98183746,
^TA125.TA,Materials,6.1028544,
^TA125.TA,Non-classified,0,
^TA125.TA,Consumer Discretionary,5.04420619,
^TA125.TA,Energy,2.45034305,
^TA125.TA,Others,10.4834677,
